timestamp,speed_kph,throttle,brake,clutch,gear,rpm,steer,lap_time
0.0,158.3,0.84,0.09,0.0,4,4773,-0.38,0.0
0.1,72.8,0.89,0.04,0.0,2,2277,-0.12,0.1
0.2,73.1,0.85,0.03,0.0,2,2211,-0.44,0.2
0.3,90.1,0.84,0.02,0.0,3,2531,-0.17,0.3
0.4,114.0,0.83,0.09,0.0,3,3311,-0.4,0.4
0.5,167.4,0.84,0.04,0.0,5,5018,0.42,0.5
0.6,72.5,0.74,0.03,0.0,2,2123,-0.03,0.6
0.7,129.8,0.84,0.04,0.0,4,3968,0.39,0.7
0.8,121.5,0.86,0.1,0.0,4,3622,-0.19,0.8
0.9,142.6,0.74,0.09,0.0,4,4272,-0.19,0.9
1.0,145.9,0.83,0.06,0.0,4,4351,-0.3,1.0
1.1,82.5,0.89,0.05,0.0,3,2419,0.24,1.1
1.2,109.8,0.8,0.07,0.0,3,3201,-0.15,1.2
1.3,161.6,0.85,0.08,0.0,5,4875,0.21,1.3
1.4,135.8,0.84,0.04,0.0,4,4153,0.04,1.4
1.5,139.3,0.89,0.04,0.0,4,4266,0.28,1.5
1.6,145.8,0.82,0.06,0.0,4,4421,-0.32,1.6
1.7,130.1,0.72,0.01,0.0,4,4033,-0.43,1.7
1.8,114.3,0.88,0.05,0.0,3,3621,0.03,1.8
1.9,125.2,0.75,0.05,0.0,4,3916,0.21,1.9
2.0,101.7,0.89,0.0,0.0,3,3119,-0.03,2.0
2.1,108.4,0.87,0.07,0.0,3,3133,-0.27,2.1
2.2,115.3,0.77,0.0,0.0,3,3491,-0.06,2.2
2.3,89.3,0.85,0.0,0.0,3,2647,-0.31,2.3
2.4,138.4,0.74,0.05,0.0,4,4127,-0.45,2.4
2.5,93.7,0.74,0.1,0.0,3,2709,-0.14,2.5
2.6,89.4,0.76,0.02,0.0,3,2504,0.34,2.6
2.7,156.9,0.75,0.02,0.0,4,4701,-0.14,2.7
2.8,160.7,0.72,0.07,0.0,5,4750,-0.32,2.8
2.9,148.7,0.9,0.02,0.0,4,4358,-0.37,2.9
3.0,83.7,0.87,0.05,0.0,3,2362,0.15,3.0
3.1,158.6,0.84,0.05,0.0,4,4648,0.06,3.1
3.2,90.5,0.84,0.1,0.0,3,2745,-0.45,3.2
3.3,84.4,0.89,0.03,0.0,3,2481,-0.25,3.3
3.4,98.4,0.82,0.04,0.0,3,3099,-0.39,3.4
3.5,79.4,0.73,0.06,0.0,2,2480,-0.13,3.5
3.6,132.3,0.77,0.04,0.0,4,4134,-0.17,3.6
3.7,92.7,0.79,0.05,0.0,3,2672,0.19,3.7
3.8,133.4,0.9,0.03,0.0,4,4009,0.39,3.8
3.9,167.9,0.78,0.08,0.0,5,4849,-0.28,3.9
4.0,170.0,0.85,0.06,0.0,5,5043,0.01,4.0
4.1,140.7,0.77,0.01,0.0,4,4307,0.11,4.1
4.2,146.3,0.85,0.03,0.0,4,4287,-0.39,4.2
4.3,108.9,0.85,0.08,0.0,3,3195,-0.24,4.3
4.4,152.8,0.89,0.03,0.0,4,4667,0.04,4.4
4.5,115.4,0.75,0.04,0.0,3,3396,-0.42,4.5
4.6,108.5,0.77,0.01,0.0,3,3397,0.25,4.6
4.7,78.1,0.8,0.05,0.0,2,2213,-0.18,4.7
